Employee ID,Log In Time,Log Out Time,title,Work Hours
1,2024-12-10 09:48:51+02:00,2024-12-10 09:51:42+02:00,,0h 2m 51s
1,2024-12-12 15:03:41+02:00,2024-12-12 15:29:39+02:00,,0h 25m 58s
1,2024-12-12 15:31:09+02:00,2024-12-12 18:47:43+02:00,,3h 16m 34s
1,2024-12-12 19:09:19+02:00,2024-12-12 20:03:24+02:00,,0h 54m 5s
1,2024-12-13 01:27:12+02:00,2024-12-13 10:29:48+02:00,,9h 2m 36s
1,2024-12-13 12:07:28+02:00,2024-12-13 13:09:51+02:00,,1h 2m 23s
1,2024-12-13 13:10:02+02:00,2024-12-15 15:28:13+02:00,,50h 18m 11s
1,2024-12-15 18:35:33+02:00,2024-12-15 20:39:04+02:00,,2h 3m 31s
1,2024-12-15 18:43:00+02:00,2024-12-15 20:58:33+02:00,,2h 15m 33s
1,2024-12-15 20:59:35+02:00,2024-12-15 21:00:51+02:00,,0h 1m 16s
1,2024-12-15 20:39:07+02:00,2024-12-15 22:48:21+02:00,,2h 9m 14s
1,2024-12-15 20:52:20+02:00,2024-12-15 21:06:10+02:00,,0h 13m 50s
1,2024-12-15 21:12:00+02:00,2024-12-15 21:12:49+02:00,,0h 0m 49s
1,2024-12-15 21:16:57+02:00,2024-12-15 21:18:57+02:00,,0h 2m 0s
1,2024-12-15 23:27:05+02:00,2024-12-15 23:27:55+02:00,,0h 0m 50s
1,2024-12-15 21:56:41+02:00,2024-12-16 00:06:03+02:00,,2h 9m 22s
1,2024-12-15 22:16:42+02:00,2024-12-16 00:26:56+02:00,,2h 10m 14s
1,2024-12-15 22:25:38+02:00,2024-12-16 00:26:56+02:00,,2h 1m 18s
1,2024-12-15 22:29:31+02:00,2024-12-16 01:00:52+02:00,,2h 31m 21s
1,2024-12-15 22:45:09+02:00,2024-12-16 01:00:52+02:00,,2h 15m 43s
1,2024-12-16 01:53:52+02:00,2024-12-16 02:14:49+02:00,,0h 20m 57s
1,2024-12-16 02:01:19+02:00,2024-12-16 02:14:49+02:00,,0h 13m 30s
1,2024-12-16 02:13:47+02:00,2024-12-16 02:14:49+02:00,,0h 1m 2s
1,2024-12-16 02:17:06+02:00,2024-12-16 02:20:08+02:00,,0h 3m 2s
1,2024-12-16 02:39:37+02:00,2024-12-16 02:40:09+02:00,,0h 0m 32s
1,2024-12-16 03:18:44+02:00,2024-12-16 03:20:06+02:00,,0h 1m 22s
1,2024-12-16 03:42:29+02:00,2024-12-16 03:48:08+02:00,,0h 5m 39s
1,2024-12-16 04:18:34+02:00,2024-12-16 04:19:20+02:00,,0h 0m 46s
1,2024-12-16 04:33:38+02:00,2024-12-16 04:34:01+02:00,,0h 0m 23s
1,2024-12-16 05:08:53+02:00,2024-12-16 05:10:51+02:00,,0h 1m 58s
1,2024-12-16 05:19:08+02:00,2024-12-16 05:22:28+02:00,,0h 3m 20s
1,2024-12-16 05:23:15+02:00,2024-12-16 03:26:12.477189+02:00,,-2h 2m 57s
